,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8,ipo
55,55,1638,1638,1638,KIM,Kimco Realty Corp,25.35,10770000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/kim,,0
56,56,179,179,179,NLY,Annaly Capital Management Inc,10.25,10440000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nly,,0
57,57,3140,3140,3140,YUMC,Yum China Holdings Inc,26.71,10210000000.0,2016.0,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/yumc,,0
58,58,1140,1140,1140,FRT,Federal Realty Investment Trust,141.72,10170000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/frt,,0
59,59,1760,1760,1760,MAC,Macerich Company,70.08,10070000000.0,1994.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mac,,0
60,60,2803,2803,2803,TIF,Tiffany & Co,78.74,9800000000.0,1987.0,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/tif,,0
61,61,2543,2543,2543,SJR,Shaw Communications Inc,20.83,9700000000.0,,Consumer Services,Television Services,http://www.nasdaq.com/symbol/sjr,,0
62,62,2905,2905,2905,UDR,United Dominion Realty Trust Inc,36.05,9630000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/udr,,0
63,63,1260,1260,1260,GPS,Gap Inc,23.76,9480000000.0,,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/gps,,0
64,64,1122,1122,1122,EXR,Extra Space Storage Inc,75.0,9440000000.0,2004.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/exr,,0
65,65,951,951,951,DRE,Duke Realty Corp,26.57,9420000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dre,,0
66,66,509,509,509,BIP,Brookfield Infrastructure Partners,35.0,9360000000.0,,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/bip,,0
67,67,1541,1541,1541,IRM,Iron Mountain Inc,34.97,9210000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/irm,,0
68,68,1503,1503,1503,IHG,Intercontinental Hotels Group,46.33,9120000000.0,,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/ihg,,0
69,69,1210,1210,1210,FL,Foot Locker Inc,68.79,9110000000.0,,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/fl,,0
70,70,853,853,853,DRI,Darden Restaurants Inc,73.0,9060000000.0,,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dri,,0
71,71,1766,1766,1766,M,Macy's Inc,29.63,9060000000.0,,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/m,,0
72,72,77,77,77,ARE,Alexandria Real Estate Equities Inc,113.43,9010000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are,,0
73,73,1379,1379,1379,HBI,Hanesbrands Inc,22.53,8520000000.0,,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/hbi,,0
74,74,3122,3122,3122,WYN,Wyndham Worldwide Corp,78.61,8470000000.0,,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/wyn,,0
75,75,2962,2962,2962,VER,VEREIT Inc,8.61,8390000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ver,,0
76,76,1261,1261,1261,IT,Gartner Inc,100.37,8300000000.0,1993.0,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/it,,0
77,77,607,607,607,CNCO,Cencosud,8.62,8170000000.0,,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cnco,,0
78,78,209,209,209,ARMK,Aramark,33.08,8130000000.0,2013.0,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/armk,,0
79,79,2024,2024,2024,JWN,Nordstrom Inc,44.41,7700000000.0,,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/jwn,,0
80,80,1978,1978,1978,EDU,New Oriental Education & Technology Group,48.19,7590000000.0,2006.0,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/edu,,0
81,81,501,501,501,BRX,Brixmor Property Group Inc,24.87,7570000000.0,2013.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brx,,1
82,82,2395,2395,2395,REG,Regency Centers Corp,71.01,7420000000.0,1993.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/reg,,0
83,83,1634,1634,1634,KRC,Kilroy Realty Corp,75.86,7410000000.0,1997.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krc,,0
84,84,547,547,547,CPT,Camden Property Trust,82.85,7250000000.0,1993.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cpt,,0
85,85,1470,1470,1470,H,Hyatt Hotels Corp,54.51,7130000000.0,2009.0,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/h,,0
86,86,194,194,194,AIV,Apartment Investment and Management Company,45.16,7090000000.0,1994.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv,,0
87,87,1661,1661,1661,KSS,Kohl's,40.11,7080000000.0,1992.0,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/kss,,0
88,88,129,129,129,ACC,American Campus Communities Inc,50.78,6710000000.0,2004.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acc,,0
89,89,1941,1941,1941,NNN,National Retail Properties,45.51,6700000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nnn,,0
90,90,2938,2938,2938,MTN,Vail Resorts Inc,166.9,6670000000.0,1997.0,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/mtn,,0
91,91,3007,3007,3007,WPC,WP Carey Inc,62.01,6590000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wpc,,0
92,92,1092,1092,1092,ELS,Equity Lifestyle Properties Inc,74.98,6400000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/els,,0
93,93,2138,2138,2138,OHI,Omega Healthcare Investors Inc,32.76,6390000000.0,1992.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ohi,,0
94,94,2698,2698,2698,TAL,TAL Education Group,78.79,6370000000.0,,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/tal,,0
95,95,2974,2974,2974,VIPS,Vipshop Holdings,10.75,6340000000.0,2012.0,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/vips,,1
96,96,1029,1029,1029,ESRT,Empire State Realty Trust Inc,20.53,6330000000.0,2013.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/esrt,,0
97,97,84,84,84,ALLE,Allegion,65.07,6250000000.0,2013.0,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle,,0
98,98,2195,2195,2195,PSO,Pearson Plc,7.39,6020000000.0,,Consumer Services,Books,http://www.nasdaq.com/symbol/pso,,0
99,99,1724,1724,1724,LPT,Liberty Property Trust,40.85,6000000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lpt,,0
100,100,2620,2620,2620,STWD,STARWOOD PROPERTY TRUST,22.63,5860000000.0,2009.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/stwd,,0
